2017,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,**,**,**,**,**,**,**,**,**,**,**,**
2,26,77,38,34,74,30,61,38,4,36,66,52
3,95,39,18,59,47,82,78,42,11,80,20,90
4,94,51,30,79,64,75,68,95,87,4,91,26
5,48,43,16,24,83,54,59,44,66,04R,67,30
6,5,34,81,70,22,51,50,79,22,76,64,24
7,76,47,35,42,30,24,79,99,84,97,25,34
8,8,13,94,60,83,52,4,59,28,97R,90,51
9,39,84,85,75,69,16,70,87,47,25,94,15
10,37,32,74,61,39,54,80,2,24,85,93,26
11,71,77,20,80,60,24,31,28,16,92,84,46
12,96,78,55,76,50,22,31R,66,64,23,52,10
13,90,48,60,74,67,51,70,58,8,45,29,80
14,83,66,22,69,96,41,15,48,94,50,12,80
15,65,13,19,83,57,98,97,22,85,58,97,68
16,45,48,99,81,96,40,26,64,49,26,29,18
17,87,98,14,78,49,94,79,36,86,75,24,60
18,73,95,78,1,16,28,72,30,66,21,62,31
19,9,12,84,60,74,54,31,54,70,48,88,88
20,29,75,14,87,99,36,82,20,61,41,7,78
21,82,63,91,75,72,88,40,83,62,88,78,74
22,51,78,54,5,64,29,31,18,16,49,33,55
23,20,69,4,39,34,41,9,26,62,3,24,81
24,80,36,42,7,76,66,97,65,29,91,73,28
25,17,32,12,29,3,87,41,39,1,91R,59,34
26,81,63,59,80,16,52,27,2,13,45,31,37
27,59,44,91,56,61,52R,11,72,1,37,42,94
28,7,39,27,52,41,44,18,68,47,75,93,67
29,0,?,12,38,4,99,5,5,61,33,37,23
30,54,?,65,65,86,12,42,41,22,85,87,68
31,52,?,98,?,37,?,1,39,?,67,XX,44
