2016,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,?,?,?,?,?,?,?,?,?,?,?,?
2,92,49,72,87,48,2,69,91,62,58,75,44
3,77,92,58,99,21,76,6,86,41,51,65,75
4,36,89,17,82,70,7,27,94,62,28,51,37
5,44,42,83,3,25,79,50,41,70,57,35,100
6,26,91,84,22,29,41,41,86,98,70,43,15
7,76,71,90,38,75,19,15,98,46,73,85,16
8,41,39,96,100,47,29,62,63,45,5,92,57
9,58,71,81,17,15,87,49,52,22,65,38,90
10,30,25,40,90,13,71,3,60,93,37,35,87
11,45,92,38,22,8,65,97,34,46,16,7,97
12,57,86,86,90,79,19,63,3,84,37,1,66
13,72,15,23,82,27,99,24,50,50,46,16,72
14,51,84,94,28,98,39,20,91,95,8,34,32
15,25,41,49,76,47,55,90,33,8,78,28,60
16,21,33,25,83,72,43,12,86,95,7,8,77
17,59,66,66,47,82,67,1,87,38,12,31,44
18,35,46,23,7,62,33,19,3,65,91,27,27
19,12,88,36,36,15,31,17,32,97,31,47,45
20,70,43,65,95,21,24,69,76,32,96,88,82
21,13,6,68,1,38,23,14,71,19,92,2,34
22,89,46,93,92,98,30,45,57,30,51,58,91
23,60,12,15,64,94,76,54,79,98,96,43,57
24,42,49,93,62,69,23,80,72,34,2,44,16
25,11,33,87,28,25,84,34,67,45,69,22,62
26,43,35,9,38,98,57,93,63,62,44,14,40
27,99,20,40,7,58,31,1,40,32,93,54,66
28,79,31,9,35,99,60,57,85,14,69,35,48
29,95,76,55,4,62,53,9,61,39,71,1,61
30,33,?,19,27,94,79,86,33,88,94,83,97
31,90,?,46,?,76,?,63,58,XX,65,?,20
