2013,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,58,33,80,89,21,46,34,71,87,34,47,95
2,72,63,18,3,36,84,62,33,62,90,45,39
3,40,44,26,0,17,95,52,47,99,50,69,59
4,41,83,83,6,99,20,65,33,87,74,30,87
5,1,14,65,18,46,3,3,46,8,51,70,15
6,53,84,17,4,95,92,91,11,94,44,42,78
7,29,72,65,81,81,92,48,33,53,46,66,26
8,19,0,29,31,69,59,93,16,28,85,56,47
9,24,70,69,37,5,58,87,55,92,43,33,97
10,89,27,53,38,63,89,10,30,25,86,0,66
11,22,25,53,68,37,26,96,69,41,36,58,84
12,81,70,5,85,43,26,33,42,5,88,90,97
13,9,21,40,67,12,60,10,94,27,62,49,27
14,71,53,52,60,32,36,47,34,37,68,6,92
15,17,66,80,17,47,62,88,0,86,64,41,15
16,87,37,34,59,9,3,70,96,91,27,48,65
17,38,60,79,82,22,56,28,84,18,20,25,22
18,75,60,18,67,52,26,39,93,73,98,0,16
19,74,41,4,82,43,4,21,9,19,36,31,93
20,78,68,65,34,20,88,17,48,69,29,26,77
21,97,63,75,11,59,94,91,70,51,86,78,36
22,37,21,72,31,51,82,25,80,18,60,59,15
23,21,0,5,0,27,87,48,21,29,81,49,90
24,44,43,72,82,49,23,67,41,35,68,68,6
25,57,8,71,44,22,97,47,3,92,50,12,82
26,3,66,16,43,67,49,51,64,25,88,31,12
27,95,18,12,6,88,24,60,36,94,57,90,68
28,57,XX,93,26,14,90,21,64,55,43,93,14
29,19,XX,74,27,69,69,56,34,51,31,20,80
30,2,XX,54,XX,69,XX,90,27,XX,59,XX,38
